Food Name,Category,Serving Size (g),Protein (g),Carbohydrates (g),Total Fat (g),Dietary Fiber (g),Sugars (g),Calories (kcal)
Paneer,Dairy,140.6,8.3,13.2,4.3,0.4,5.1,180.74
Whole Wheat Bread,Grains & Cereals,181.5,13.8,70.3,1.3,7.5,0.5,623.49
Chicken Thigh,Meat & Poultry,217.6,20.1,0.3,7.0,0.2,0.5,314.05
Mackerel,Seafood,170.0,21.3,0.3,14.2,0.0,0.3,360.75
Green Peas,Legumes,111.9,9.7,17.2,1.8,6.0,1.7,152.19
Pumpkin Seeds,Nuts & Seeds,28.2,17.8,13.4,53.0,7.9,5.2,169.96
Banana Chips,Snacks,41.6,4.9,56.8,26.3,1.1,13.4,208.78
Fruit Smoothie,Beverages,247.4,2.0,7.9,1.4,0.6,8.5,131.35
Gulab Jamun,Desserts,101.6,4.2,45.8,22.5,1.1,32.8,412.26
Cheese Pizza Slice,Fast Food,267.5,14.4,32.6,17.8,2.6,5.2,964.26
Carrot,Vegetables,147.1,2.6,2.7,0.3,2.3,2.2,39.63
Mango,Fruits,160.1,0.2,22.1,1.3,2.1,9.0,160.44
Greek Yogurt,Dairy,203.1,5.6,14.5,24.9,0.4,6.4,591.31
Cornflakes,Grains & Cereals,66.2,9.1,71.0,1.1,3.9,6.3,219.03
Pork Loin,Meat & Poultry,121.2,28.0,3.0,15.2,0.2,1.0,330.3
Pomfret,Seafood,115.1,19.3,0.2,11.5,0.0,0.2,202.47
Chana Dal,Legumes,158.6,9.5,15.7,1.1,5.5,1.7,178.88
Hazelnuts,Nuts & Seeds,33.4,15.8,12.1,61.7,8.1,5.2,227.22
Potato Chips,Snacks,41.9,4.2,52.3,30.8,2.0,21.9,214.44
Orange Juice,Beverages,251.1,3.0,7.1,1.8,0.6,11.1,141.12
Chocolate Cake,Desserts,63.4,3.6,57.9,22.6,0.5,28.5,284.45
Chicken Burger,Fast Food,155.6,14.5,31.7,14.6,2.2,3.1,485.66
Bell Pepper,Vegetables,235.5,2.1,14.8,0.6,2.9,6.3,172.15
Papaya,Fruits,144.0,1.9,21.3,1.3,1.3,16.5,150.64
Butter,Dairy,212.5,8.5,14.6,24.6,0.1,11.1,660.02
Ragi,Grains & Cereals,114.4,7.0,56.0,5.7,6.4,11.8,342.08
Keema,Meat & Poultry,238.7,22.9,2.4,4.9,0.1,0.8,354.77
Tilapia,Seafood,171.3,15.4,0.7,1.2,0.0,0.3,131.06
Boiled Chickpeas,Legumes,162.2,9.3,26.1,2.5,4.2,1.1,276.37
Cashews,Nuts & Seeds,37.9,15.0,17.8,58.2,3.2,4.0,261.2
Roasted Peanuts,Snacks,45.7,5.0,62.1,27.0,3.6,11.0,234.23
Sweet Tea,Beverages,307.6,1.0,12.4,0.4,0.1,4.4,179.17
Donut,Desserts,119.8,6.0,42.4,18.2,0.4,34.4,412.49
Fried Chicken,Fast Food,173.1,12.2,30.9,23.7,2.0,3.9,652.24
Tomato,Vegetables,163.1,1.0,2.2,0.5,3.5,3.4,37.29
Watermelon,Fruits,132.5,1.6,17.2,0.4,3.7,10.1,115.92
Buttermilk,Dairy,136.2,7.3,11.9,15.0,0.3,6.3,296.31
Upma,Grains & Cereals,165.4,7.2,76.9,2.7,7.1,9.5,635.17
Chicken Breast,Meat & Poultry,218.1,23.7,3.0,17.8,0.2,0.9,575.55
Rohu Fish,Seafood,143.3,21.2,0.2,10.0,0.1,0.3,258.59
Moong Dal,Legumes,145.5,9.8,16.5,0.6,5.2,0.7,175.38
Peanuts,Nuts & Seeds,34.0,18.1,8.1,46.3,6.1,2.3,176.42
Cookies,Snacks,55.2,5.2,52.9,28.3,1.0,7.2,270.01
Coconut Water,Beverages,326.2,1.8,6.9,0.7,0.4,10.1,134.6
Jalebi,Desserts,73.2,3.3,41.1,19.6,2.0,25.7,267.82
Veg Wrap,Fast Food,127.6,8.3,31.9,20.7,1.3,3.3,450.04
Cabbage,Vegetables,136.2,0.5,4.4,0.0,1.4,5.3,32.53
Pomegranate,Fruits,116.3,1.3,22.4,0.0,3.6,15.0,117.27
Whole Milk,Dairy,247.7,10.6,6.1,23.0,0.2,9.6,701.75
White Rice,Grains & Cereals,106.2,12.5,63.0,5.8,7.4,2.6,400.56
Mutton Curry Cut,Meat & Poultry,208.8,18.9,0.1,10.6,0.0,0.2,376.6
Tuna,Seafood,114.4,23.1,0.6,13.4,0.1,0.1,238.72
Kidney Beans,Legumes,199.3,5.9,22.6,3.0,4.0,0.5,304.43
Sunflower Seeds,Nuts & Seeds,25.5,16.3,25.8,62.5,7.3,5.1,185.56
Popcorn,Snacks,45.8,6.4,50.9,33.3,3.5,5.4,253.36
Lemonade,Beverages,301.6,3.1,3.6,1.2,0.6,5.2,120.74
Pastry,Desserts,50.9,4.3,54.0,29.7,1.3,32.9,251.18
Pav Bhaji,Fast Food,236.5,11.6,31.1,11.4,2.8,5.8,666.01
Spinach,Vegetables,131.8,2.9,4.3,0.2,4.4,7.4,48.84
Banana,Fruits,173.1,1.5,22.9,0.6,2.6,16.6,189.23
Paneer,Dairy,115.0,7.7,4.3,22.6,0.4,11.8,302.77
Whole Wheat Bread,Grains & Cereals,182.0,11.9,55.6,6.9,5.4,8.6,626.34
Chicken Thigh,Meat & Poultry,240.3,21.8,1.8,15.8,0.1,0.6,560.74
Mackerel,Seafood,168.5,17.2,0.8,6.2,0.0,0.1,202.51
Green Peas,Legumes,127.8,9.8,18.7,0.7,7.8,2.7,178.12
Pumpkin Seeds,Nuts & Seeds,29.6,16.9,18.0,53.8,5.1,2.2,191.92
Banana Chips,Snacks,51.8,6.6,54.9,22.2,1.8,10.9,232.51
Fruit Smoothie,Beverages,220.7,3.2,13.8,2.0,1.0,0.9,199.95
Gulab Jamun,Desserts,61.6,4.2,37.4,26.9,1.9,33.6,254.27
Cheese Pizza Slice,Fast Food,174.3,9.1,37.8,18.8,2.5,5.1,637.13
Carrot,Vegetables,234.4,2.4,12.0,0.2,4.8,1.8,155.9
Mango,Fruits,124.5,0.7,22.4,0.3,2.2,12.8,127.15
Greek Yogurt,Dairy,136.7,10.5,13.5,8.8,0.3,5.7,238.17
Cornflakes,Grains & Cereals,124.8,13.5,77.2,5.7,6.7,5.9,539.56
Pork Loin,Meat & Poultry,243.0,23.2,0.4,5.8,0.2,0.5,359.77
Pomfret,Seafood,191.7,21.1,0.4,4.2,0.0,0.1,243.23
Chana Dal,Legumes,198.9,8.0,22.0,1.5,6.7,1.0,295.47
Hazelnuts,Nuts & Seeds,21.0,22.4,16.8,47.2,10.4,3.7,131.78
Potato Chips,Snacks,57.3,7.2,57.5,35.0,3.4,9.2,322.77
Orange Juice,Beverages,268.7,2.2,0.0,2.0,0.3,0.8,74.03
Chocolate Cake,Desserts,100.8,2.6,50.8,17.9,2.8,28.0,395.78
Chicken Burger,Fast Food,135.4,12.6,34.0,17.1,2.9,5.4,479.11
Bell Pepper,Vegetables,248.8,2.6,2.5,0.4,4.6,6.2,83.17
Papaya,Fruits,140.3,1.4,13.1,1.4,2.1,16.6,106.51
Butter,Dairy,151.4,9.2,9.1,22.7,0.2,10.1,415.76
Ragi,Grains & Cereals,146.1,9.5,58.1,1.6,8.0,7.9,444.11
Keema,Meat & Poultry,200.2,21.9,0.6,20.1,0.2,0.2,544.26
Tilapia,Seafood,120.3,18.0,0.3,4.6,0.1,0.5,140.66
Boiled Chickpeas,Legumes,132.0,8.5,29.3,2.0,5.3,2.1,246.13
Cashews,Nuts & Seeds,32.2,19.0,21.4,44.5,6.2,6.4,181.87
Roasted Peanuts,Snacks,47.1,7.7,62.1,26.4,2.6,14.8,240.64
Sweet Tea,Beverages,311.7,0.9,12.8,1.8,0.8,12.7,225.7
Donut,Desserts,70.3,5.1,47.0,19.1,0.7,36.1,269.22
Fried Chicken,Fast Food,133.5,12.1,31.1,13.3,2.6,9.0,396.98
Tomato,Vegetables,117.4,1.3,12.4,0.8,1.6,6.4,76.33
Watermelon,Fruits,193.3,2.0,11.3,0.2,2.3,15.1,120.37
Buttermilk,Dairy,199.5,2.7,4.7,19.9,0.1,12.7,398.62
Upma,Grains & Cereals,149.8,12.7,59.4,3.5,7.0,6.0,503.12
Chicken Breast,Meat & Poultry,246.5,29.9,3.0,14.4,0.0,0.7,667.1
Rohu Fish,Seafood,178.7,20.1,0.8,1.2,0.1,0.2,162.96
Moong Dal,Legumes,149.1,9.1,21.2,1.3,7.7,2.5,220.07
Peanuts,Nuts & Seeds,21.4,16.4,25.5,46.0,4.2,4.7,127.72
Cookies,Snacks,53.8,4.0,53.7,35.5,1.1,18.0,296.45
Coconut Water,Beverages,213.9,0.5,12.1,1.6,0.5,10.6,140.81
Jalebi,Desserts,82.5,5.0,41.4,25.0,1.5,38.8,317.88
Veg Wrap,Fast Food,135.3,9.5,28.1,21.3,1.2,3.6,480.3
Cabbage,Vegetables,167.3,2.6,7.2,1.0,1.5,5.6,85.55
Pomegranate,Fruits,165.6,1.8,24.6,1.3,1.6,9.9,197.83
Whole Milk,Dairy,104.0,9.3,9.8,14.0,0.4,10.8,209.18
White Rice,Grains & Cereals,172.3,10.8,67.2,2.6,5.8,9.1,583.15
Mutton Curry Cut,Meat & Poultry,201.5,22.6,0.8,14.5,0.1,0.6,460.36
Tuna,Seafood,189.0,15.0,0.4,13.5,0.1,0.1,362.03
Kidney Beans,Legumes,119.5,7.4,29.0,0.6,5.1,2.0,187.87
Sunflower Seeds,Nuts & Seeds,22.7,17.1,9.1,48.3,6.4,2.9,123.0
Popcorn,Snacks,46.4,5.3,52.2,21.1,2.1,10.3,193.75
Lemonade,Beverages,292.9,3.1,13.0,0.2,0.1,1.5,187.85
Pastry,Desserts,53.1,5.4,53.9,26.4,1.6,44.9,257.66
Pav Bhaji,Fast Food,295.7,10.3,39.2,18.7,2.6,4.2,1058.43
Spinach,Vegetables,119.2,1.7,14.6,0.4,2.6,5.1,89.76
Banana,Fruits,140.9,0.5,9.8,1.3,2.8,11.7,84.91
Paneer,Dairy,167.7,8.3,14.1,23.4,0.2,6.6,526.52
Whole Wheat Bread,Grains & Cereals,100.6,9.7,71.5,4.3,4.9,4.1,395.11
Chicken Thigh,Meat & Poultry,213.3,20.0,2.2,11.6,0.0,0.6,409.82
Mackerel,Seafood,194.6,24.1,1.9,9.2,0.1,0.0,358.55
Green Peas,Legumes,156.3,9.6,23.7,0.5,4.2,2.2,226.98
Pumpkin Seeds,Nuts & Seeds,35.7,22.4,24.9,54.4,6.7,2.0,237.64
Banana Chips,Snacks,52.1,7.5,52.5,31.3,1.8,8.2,256.28
Fruit Smoothie,Beverages,289.1,1.9,13.5,1.9,0.9,2.4,233.51
Gulab Jamun,Desserts,118.8,3.5,37.5,26.2,1.4,34.1,464.22
Cheese Pizza Slice,Fast Food,267.5,11.0,30.5,16.3,1.2,8.6,852.84
Carrot,Vegetables,203.5,1.3,13.4,0.0,3.1,4.2,129.04
Mango,Fruits,152.2,1.4,14.4,0.9,1.1,13.0,107.02
Greek Yogurt,Dairy,160.7,3.4,5.3,8.9,0.0,13.4,187.33
Cornflakes,Grains & Cereals,108.6,13.8,57.0,4.9,9.8,7.6,381.98
Pork Loin,Meat & Poultry,205.9,18.4,1.6,24.9,0.2,0.0,643.56
Pomfret,Seafood,106.0,24.9,0.1,14.1,0.1,0.1,254.27
Chana Dal,Legumes,144.5,5.8,23.0,2.8,6.8,1.5,228.63
Hazelnuts,Nuts & Seeds,21.9,24.7,13.5,48.0,5.3,6.8,135.13
Potato Chips,Snacks,29.4,6.8,61.6,39.5,3.5,23.9,189.44
Orange Juice,Beverages,272.4,1.9,7.6,1.8,1.0,9.2,151.65
Chocolate Cake,Desserts,104.6,3.5,44.0,17.8,0.3,21.9,357.38
Chicken Burger,Fast Food,295.1,14.5,34.2,10.5,1.3,4.4,877.93
Bell Pepper,Vegetables,123.0,1.8,14.2,1.0,1.9,1.3,92.77
Papaya,Fruits,120.2,0.6,17.7,1.4,2.6,15.1,107.29
Butter,Dairy,133.9,8.2,13.4,23.7,0.2,4.0,414.02
Ragi,Grains & Cereals,91.3,13.6,64.5,5.6,6.9,2.2,345.63
Keema,Meat & Poultry,240.5,26.1,1.3,8.0,0.1,0.2,425.69
Tilapia,Seafood,199.5,16.2,1.0,8.0,0.1,0.2,270.95
Boiled Chickpeas,Legumes,163.8,7.4,21.3,0.7,7.0,1.1,222.67
Cashews,Nuts & Seeds,36.4,24.8,16.8,62.8,6.8,2.3,270.92
Roasted Peanuts,Snacks,37.2,7.1,53.6,32.8,3.6,17.6,204.64
Sweet Tea,Beverages,275.9,2.4,13.4,0.7,0.4,10.6,187.58
Donut,Desserts,93.9,3.8,40.4,24.9,0.4,25.0,351.65
Fried Chicken,Fast Food,139.5,14.3,29.1,11.7,2.9,4.1,401.88
Tomato,Vegetables,153.7,1.8,13.5,0.8,3.8,2.2,111.54
Watermelon,Fruits,170.5,0.5,12.6,0.5,1.4,14.2,100.17
Buttermilk,Dairy,223.1,6.8,12.4,18.8,0.4,7.9,540.77
Upma,Grains & Cereals,160.3,8.9,59.4,3.8,5.5,2.9,541.07
Chicken Breast,Meat & Poultry,135.4,21.3,0.4,12.7,0.1,0.4,273.42
Rohu Fish,Seafood,161.4,25.2,1.0,9.8,0.1,0.5,310.0
Moong Dal,Legumes,147.7,9.5,26.9,1.7,4.4,0.5,254.78
Peanuts,Nuts & Seeds,24.5,19.1,18.9,55.6,9.7,2.5,168.31
Cookies,Snacks,39.1,7.4,64.9,37.5,3.7,11.3,246.7
Coconut Water,Beverages,225.5,2.1,13.1,0.7,0.6,3.9,146.93
Jalebi,Desserts,63.4,2.2,58.7,18.1,2.5,37.0,267.0
Veg Wrap,Fast Food,262.9,13.7,29.0,23.7,1.3,7.7,987.36
Cabbage,Vegetables,138.0,1.2,14.5,0.3,2.7,4.0,96.94
Pomegranate,Fruits,157.1,1.6,14.4,1.3,1.6,7.1,115.34
Whole Milk,Dairy,159.3,2.4,5.5,13.2,0.4,4.0,229.22
White Rice,Grains & Cereals,177.9,9.0,59.7,2.2,5.7,5.8,540.99
Mutton Curry Cut,Meat & Poultry,136.9,26.3,2.9,12.1,0.1,0.9,298.97
Tuna,Seafood,146.4,23.3,0.2,7.3,0.0,0.1,237.23
Kidney Beans,Legumes,125.5,9.0,28.6,2.5,5.3,1.2,230.91
Sunflower Seeds,Nuts & Seeds,20.7,24.4,15.4,48.7,9.8,4.0,130.06
Popcorn,Snacks,54.7,6.6,60.7,24.2,3.8,22.0,283.27
Lemonade,Beverages,219.2,0.2,12.1,0.6,0.6,9.9,123.88
Pastry,Desserts,102.1,5.8,53.2,18.8,2.6,33.2,425.62
Pav Bhaji,Fast Food,201.1,13.2,29.3,11.8,1.5,6.5,580.87
Spinach,Vegetables,201.7,1.5,12.2,0.9,2.0,6.2,134.3
Banana,Fruits,198.4,0.5,21.5,1.4,3.2,18.9,206.32
Paneer,Dairy,231.3,8.4,8.7,24.7,0.0,7.5,677.52
Whole Wheat Bread,Grains & Cereals,163.2,12.3,64.6,6.9,10.0,3.6,604.68
Chicken Thigh,Meat & Poultry,206.8,25.3,2.0,21.3,0.0,0.2,610.92
Mackerel,Seafood,139.6,20.5,0.1,5.6,0.1,0.0,189.69
Green Peas,Legumes,188.6,5.3,26.2,1.1,8.3,2.4,277.63
Pumpkin Seeds,Nuts & Seeds,39.2,20.3,23.4,49.2,4.8,2.1,241.9
Banana Chips,Snacks,47.4,6.5,59.9,30.6,2.4,14.0,266.96
Fruit Smoothie,Beverages,345.9,3.1,11.4,0.7,0.6,1.8,226.84
Gulab Jamun,Desserts,58.4,5.7,43.3,13.4,0.6,22.3,181.86
Cheese Pizza Slice,Fast Food,254.9,14.9,26.1,12.0,2.7,7.1,707.74
Carrot,Vegetables,151.9,2.7,10.3,0.5,3.9,4.1,93.85
Mango,Fruits,184.2,0.5,21.5,0.4,1.5,10.2,167.45
Greek Yogurt,Dairy,132.5,8.9,13.3,2.4,0.4,6.4,143.6
Cornflakes,Grains & Cereals,139.5,13.3,62.4,4.4,4.6,6.7,523.77
Pork Loin,Meat & Poultry,111.1,25.5,0.4,18.3,0.1,0.7,288.53
Pomfret,Seafood,123.7,19.5,0.2,3.7,0.0,0.4,137.62
Chana Dal,Legumes,192.8,7.7,26.4,1.7,6.5,2.0,304.64
Hazelnuts,Nuts & Seeds,29.6,20.3,19.6,59.5,3.6,4.6,201.95
Potato Chips,Snacks,32.6,6.0,54.4,39.2,2.4,8.6,185.59
Orange Juice,Beverages,285.5,0.0,6.0,1.5,0.7,0.4,112.3
Chocolate Cake,Desserts,78.9,5.8,39.2,22.5,1.0,36.0,304.09
Chicken Burger,Fast Food,299.8,9.6,38.6,17.5,2.5,8.9,1002.17
Bell Pepper,Vegetables,248.5,1.2,5.3,0.3,3.3,8.0,88.04
Papaya,Fruits,183.3,1.4,22.6,1.4,1.6,13.9,208.86
Butter,Dairy,140.4,6.4,14.8,24.6,0.5,11.8,417.18
Ragi,Grains & Cereals,159.9,10.4,69.0,4.0,7.7,4.9,574.51
Keema,Meat & Poultry,134.2,22.0,0.4,7.2,0.2,0.4,206.98
Tilapia,Seafood,127.5,21.1,0.0,5.1,0.0,0.3,169.57
Boiled Chickpeas,Legumes,160.7,5.3,23.7,0.6,8.2,0.9,225.21
Cashews,Nuts & Seeds,23.6,19.4,8.5,60.9,10.1,2.1,163.49
Roasted Peanuts,Snacks,46.0,6.2,48.0,24.1,3.0,19.5,195.52
Sweet Tea,Beverages,206.9,1.7,4.2,1.0,0.4,2.9,71.28
Donut,Desserts,104.4,4.8,35.5,18.8,1.9,35.3,332.4
Fried Chicken,Fast Food,108.5,13.0,26.5,17.1,2.2,4.7,337.59
Tomato,Vegetables,130.2,1.6,7.4,0.2,4.3,7.5,61.32
Watermelon,Fruits,197.0,0.2,23.7,1.4,1.0,16.9,221.05
Buttermilk,Dairy,192.2,11.7,9.6,2.4,0.4,9.8,203.42
Upma,Grains & Cereals,175.8,10.6,58.8,5.4,2.7,8.8,603.47
Chicken Breast,Meat & Poultry,126.2,24.1,0.9,24.3,0.1,0.4,382.44
Rohu Fish,Seafood,137.8,20.1,1.9,11.1,0.0,0.4,250.47
Moong Dal,Legumes,198.7,6.2,24.3,2.8,5.3,2.2,310.19
Peanuts,Nuts & Seeds,35.1,15.9,21.2,51.1,3.6,4.4,217.48
Cookies,Snacks,58.4,5.3,61.9,30.4,3.5,13.9,318.01
Coconut Water,Beverages,303.1,0.4,12.4,1.0,0.1,2.0,185.38
Jalebi,Desserts,69.6,3.1,38.5,18.8,1.2,33.0,236.21
Veg Wrap,Fast Food,149.7,12.3,30.6,19.8,1.2,3.1,534.51
Cabbage,Vegetables,103.3,1.5,12.5,0.4,3.1,5.2,68.28
Pomegranate,Fruits,102.2,0.8,15.2,0.2,3.3,19.3,75.71
Whole Milk,Dairy,247.2,9.6,6.4,19.8,0.3,13.2,592.46
White Rice,Grains & Cereals,42.6,9.6,68.7,1.9,5.0,11.9,139.97
Mutton Curry Cut,Meat & Poultry,119.6,28.1,1.0,13.6,0.2,0.5,286.97
Tuna,Seafood,197.1,20.5,0.2,6.6,0.1,0.3,282.73
Kidney Beans,Legumes,139.0,7.5,27.9,1.6,5.4,2.6,228.84
Sunflower Seeds,Nuts & Seeds,24.0,24.8,10.9,50.3,3.2,4.0,142.54
Popcorn,Snacks,50.1,4.7,58.5,25.3,2.1,12.0,237.08
Lemonade,Beverages,251.4,1.3,11.9,1.1,0.2,11.7,163.38
Pastry,Desserts,106.5,4.0,38.1,14.8,2.2,23.3,320.73
Pav Bhaji,Fast Food,132.6,12.2,35.7,20.7,3.0,5.4,514.75
Spinach,Vegetables,139.7,1.8,4.3,0.6,1.1,7.5,44.54
Banana,Fruits,119.3,0.4,12.1,0.4,1.1,10.6,66.51
Paneer,Dairy,130.3,5.9,7.1,8.5,0.0,3.3,168.35
Whole Wheat Bread,Grains & Cereals,163.8,13.9,78.2,4.0,6.8,3.8,689.41
Chicken Thigh,Meat & Poultry,146.3,28.1,2.7,12.6,0.2,0.8,337.69
Mackerel,Seafood,103.4,16.0,2.0,11.7,0.0,0.3,181.64
Green Peas,Legumes,141.4,9.0,24.0,2.6,4.5,1.2,236.65
Pumpkin Seeds,Nuts & Seeds,25.4,19.5,12.6,52.2,6.4,6.4,156.3
Banana Chips,Snacks,42.6,5.7,51.6,30.1,2.3,10.1,215.92
Fruit Smoothie,Beverages,345.5,1.2,7.9,0.8,0.8,3.3,156.09
Gulab Jamun,Desserts,107.3,5.9,56.0,12.8,1.6,24.2,407.5
Cheese Pizza Slice,Fast Food,111.8,9.8,38.9,11.7,2.1,8.0,331.21
Carrot,Vegetables,117.8,2.5,2.9,0.5,2.0,5.6,34.6
Mango,Fruits,144.3,1.8,11.2,0.5,2.8,16.3,87.73
Greek Yogurt,Dairy,238.4,3.0,15.0,11.7,0.4,8.3,439.98
Cornflakes,Grains & Cereals,112.4,6.9,78.2,6.7,4.8,4.3,457.16
Pork Loin,Meat & Poultry,105.8,20.3,2.7,8.6,0.1,0.1,177.18
Pomfret,Seafood,187.6,18.7,1.3,1.9,0.1,0.4,181.56
Chana Dal,Legumes,136.9,6.6,20.5,1.8,5.5,0.7,186.45
Hazelnuts,Nuts & Seeds,26.9,18.9,11.1,49.5,8.0,3.9,153.94
Potato Chips,Snacks,56.8,7.1,52.6,31.8,3.9,15.4,306.5
Orange Juice,Beverages,213.9,0.2,6.0,1.4,1.0,6.0,82.08
Chocolate Cake,Desserts,94.0,2.5,53.8,20.2,2.2,41.7,377.45
Chicken Burger,Fast Food,143.3,13.3,37.6,23.0,1.1,6.9,630.65
Bell Pepper,Vegetables,130.7,2.1,7.5,0.2,2.4,5.9,56.62
Papaya,Fruits,170.8,1.8,21.0,0.3,1.9,19.6,159.77
Butter,Dairy,100.7,5.1,6.6,1.5,0.4,3.5,63.18
Ragi,Grains & Cereals,91.9,13.6,73.9,3.8,6.4,5.2,368.86
Keema,Meat & Poultry,157.7,23.2,1.8,22.8,0.2,0.1,478.33
Tilapia,Seafood,191.9,18.9,0.6,3.0,0.1,0.2,204.47
Boiled Chickpeas,Legumes,120.9,5.3,21.0,0.7,5.3,3.0,156.44
Cashews,Nuts & Seeds,22.8,20.7,17.5,56.2,6.0,6.1,154.79
Roasted Peanuts,Snacks,31.0,6.8,62.4,27.4,2.7,6.4,169.21
Sweet Tea,Beverages,325.3,2.5,4.0,1.4,0.1,11.2,126.49
Donut,Desserts,79.8,2.1,36.4,27.1,0.7,33.7,313.89
Fried Chicken,Fast Food,110.3,11.4,32.5,24.8,1.3,8.8,461.66
